2024/09/02 14:45:56.088, 金吉路, 35kV桥吉一开关 线路差动保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:46:06.922, 金吉路, 35kV桥吉一开关 线路差动保护故障 出现, 三级, 保护信号变位, , 
2024/09/02 14:46:15.876, 金吉路, 35kV桥吉一开关 线路差动保护故障 消失, 三级, 保护信号变位, , 
2024/09/02 14:46:27.639, 金吉路, 35kV桥吉一开关 总保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:46:34.989, 金吉路, 35kV桥吉一开关 总保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:46:41.136, 金吉路, 35kV桥吉一开关 MCB控制电源小开关 分位, 二级, 保护信号变位, , 
2024/09/02 14:46:44.949, 金吉路, 35kV桥吉一开关 MCB控制电源小开关 合位, 二级, 保护信号变位, , 
2024/09/02 14:46:52.251, 金吉路, 35kV桥吉一开关 电弧 故障, 二级, 保护信号变位, , 
2024/09/02 14:46:56.014, 金吉路, 35kV桥吉一开关 电弧 复归, 二级, 保护信号变位, , 
2024/09/02 14:47:01.608, 金吉路, 35kV桥吉一开关 弹簧状态 未储能, 三级, 保护信号变位, , 
2024/09/02 14:47:10.664, 金吉路, 35kV桥吉一开关 弹簧状态 已储能, 三级, 保护信号变位, , 
2024/09/02 14:47:18.942, 金吉路, 35kV桥吉一开关 SF6气体压力 异常, 二级, 保护信号变位, , 
2024/09/02 14:47:26.243, 金吉路, 35kV桥吉一开关 SF6气体压力 正常, 二级, 保护信号变位, , 
2024/09/02 14:47:32.037, 金吉路, 35kV桥吉一开关 跳闸回路断线 出现, 二级, 保护信号变位, , 
2024/09/02 14:47:37.530, 金吉路, 35kV桥吉一开关 跳闸回路断线 消失, 二级, 保护信号变位, , 
2024/09/02 14:47:46.311, 金吉路, 35kV桥吉一开关 定值组1 投入, 二级, 保护信号变位, , 
2024/09/02 14:47:52.307, 金吉路, 35kV桥吉一开关 定值组1 退出, 二级, 保护信号变位, , 
2024/09/02 14:47:58.605, 金吉路, 35kV桥吉一开关 定值组2 投入, 二级, 保护信号变位, , 
2024/09/02 14:48:02.569, 金吉路, 35kV桥吉一开关 定值组2 退出, 二级, 保护信号变位, , 
2024/09/02 14:48:05.304, 金吉路, 35kV桥吉一开关 定值组3 投入, 二级, 保护信号变位, , 
2024/09/02 14:48:07.435, 金吉路, 35kV桥吉一开关 定值组3 退出, 二级, 保护信号变位, , 
2024/09/02 14:58:56.881, 金吉路, 35kV桥吉二开关 操作方式 远方, 三级, 保护信号变位, , 
2024/09/02 14:59:01.095, 金吉路, 35kV桥吉二开关 操作方式 就地, 三级, 保护信号变位, , 
2024/09/02 14:59:10.223, 金吉路, RTUSOE: 35kV桥吉二母线闸刀 位置 合位, 二级, 刀闸SOE, , 
2024/09/02 14:59:11.008, 金吉路, 35kV桥吉二母线闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 14:59:14.054, 金吉路, RTUSOE: 35kV桥吉二母线闸刀 位置 分位, 二级, 刀闸SOE, , 
2024/09/02 14:59:14.822, 金吉路, 35kV桥吉二母线闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 14:59:24.336, 金吉路, RTUSOE: 35kV桥吉二接地闸刀 位置 合位, 二级, 刀闸SOE, , 
2024/09/02 14:59:25.135, 金吉路, 35kV桥吉二接地闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 14:59:27.507, 金吉路, RTUSOE: 35kV桥吉二接地闸刀 位置 分位, 二级, 刀闸SOE, , 
2024/09/02 14:59:28.296, 金吉路, 35kV桥吉二接地闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 14:59:33.186, 金吉路, RTUSOE: 35kV桥吉二开关 位置 合位, 二级, 开关SOE, , 
2024/09/02 14:59:33.965, 金吉路, 35kV桥吉二开关 位置 合位, 二级, 开关变位, , 
2024/09/02 14:59:36.071, 金吉路, RTUSOE: 35kV桥吉二开关 位置 分位, 二级, 开关SOE, , 
2024/09/02 14:59:36.850, 金吉路, 35kV桥吉二开关 位置 分位, 二级, 开关变位, , 
2024/09/02 14:59:39.677, 金吉路, RTUSOE: 35kV桥吉二开关 线路对侧地刀位置 合位, 二级, 保护信号SOE, , 
2024/09/02 14:59:40.463, 金吉路, 35kV桥吉二开关 线路对侧地刀位置 合位, 二级, 保护信号变位, , 
2024/09/02 14:59:43.806, 金吉路, RTUSOE: 35kV桥吉二开关 线路对侧地刀位置 分位, 二级, 保护信号SOE, , 
2024/09/02 14:59:44.602, 金吉路, 35kV桥吉二开关 线路对侧地刀位置 分位, 二级, 保护信号变位, , 
2024/09/02 14:59:52.309, 金吉路, RTUSOE: 35kV桥吉二开关 过流保护 跳闸, 一级, 保护信号SOE, , 
2024/09/02 14:59:53.107, 金吉路, 35kV桥吉二开关 过流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:59:55.249, 金吉路, RTUSOE: 35kV桥吉二开关 过流保护 复归, 一级, 保护信号SOE, , 
2024/09/02 14:59:56.042, 金吉路, 35kV桥吉二开关 过流保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:00:01.636, 金吉路, 35kV桥吉二开关 零流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:00:03.116, 金吉路, 35kV桥吉二开关 零流保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:00:08.259, 金吉路, 35kV桥吉二开关 失灵保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:00:11.746, 金吉路, 35kV桥吉二开关 失灵保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:00:21.981, 金吉路, 35kV桥吉二开关 线路差动保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:00:24.516, 金吉路, 35kV桥吉二开关 线路差动保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:00:27.124, 金吉路, 35kV桥吉二开关 线路差动保护光纤通道 中断, 三级, 保护信号变位, , 
2024/09/02 15:00:31.613, 金吉路, 35kV桥吉二开关 线路差动保护光纤通道 正常, 三级, 保护信号变位, , 
2024/09/02 15:00:37.283, 金吉路, 35kV桥吉二开关 线路差动保护故障 出现, 三级, 保护信号变位, , 
2024/09/02 15:00:40.845, 金吉路, 35kV桥吉二开关 线路差动保护故障 消失, 三级, 保护信号变位, , 
2024/09/02 15:00:50.881, 金吉路, 35kV桥吉二开关 总保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:00:53.189, 金吉路, 35kV桥吉二开关 总保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:00:57.353, 金吉路, 35kV桥吉二开关 MCB控制电源小开关 分位, 二级, 保护信号变位, , 
2024/09/02 15:01:00.615, 金吉路, 35kV桥吉二开关 MCB控制电源小开关 合位, 二级, 保护信号变位, , 
2024/09/02 15:01:07.460, 金吉路, 35kV桥吉二开关 电弧 故障, 二级, 保护信号变位, , 
2024/09/02 15:01:10.169, 金吉路, 35kV桥吉二开关 电弧 复归, 二级, 保护信号变位, , 
2024/09/02 15:01:17.792, 金吉路, 35kV桥吉二开关 弹簧状态 未储能, 三级, 保护信号变位, , 
2024/09/02 15:01:20.828, 金吉路, 35kV桥吉二开关 弹簧状态 已储能, 三级, 保护信号变位, , 
2024/09/02 15:01:26.422, 金吉路, 35kV桥吉二开关 SF6气体压力 异常, 二级, 保护信号变位, , 
2024/09/02 15:01:28.854, 金吉路, 35kV桥吉二开关 SF6气体压力 正常, 二级, 保护信号变位, , 
2024/09/02 15:01:48.164, 金吉路, 35kV桥吉二开关 跳闸回路断线 出现, 二级, 保护信号变位, , 
2024/09/02 15:01:51.350, 金吉路, 35kV桥吉二开关 跳闸回路断线 消失, 二级, 保护信号变位, , 
2024/09/02 15:02:00.786, 金吉路, 35kV桥吉二开关 定值组1 投入, 二级, 保护信号变位, , 
2024/09/02 15:02:03.747, 金吉路, 35kV桥吉二开关 定值组1 退出, 二级, 保护信号变位, , 
2024/09/02 15:02:06.808, 金吉路, 35kV桥吉二开关 定值组2 投入, 二级, 保护信号变位, , 
2024/09/02 15:02:09.041, 金吉路, 35kV桥吉二开关 定值组2 退出, 二级, 保护信号变位, , 
2024/09/02 15:02:12.076, 金吉路, 35kV桥吉二开关 定值组3 投入, 二级, 保护信号变位, , 
2024/09/02 15:02:14.836, 金吉路, 35kV桥吉二开关 定值组3 退出, 二级, 保护信号变位, , 
2024/09/02 15:02:30.311, 金吉路, 35kV吉海一开关 操作方式 远方, 三级, 保护信号变位, , 
2024/09/02 15:02:33.922, 金吉路, 35kV吉海一开关 操作方式 就地, 三级, 保护信号变位, , 
2024/09/02 15:02:50.380, 金吉路, 35kV吉海一母线闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 15:02:55.322, 金吉路, 35kV吉海一母线闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 15:02:56.877, 金吉路, 35kV吉海一接地闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 15:02:58.533, 金吉路, 35kV吉海一接地闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 15:03:01.418, 金吉路, 35kV吉海一开关 位置 合位, 二级, 开关变位, , 
2024/09/02 15:03:04.832, 金吉路, 35kV吉海一开关 位置 分位, 二级, 开关变位, , 
2024/09/02 15:03:09.850, 金吉路, 35kV吉海一开关 线路对侧地刀位置 合位, 二级, 保护信号变位, , 
2024/09/02 15:03:12.786, 金吉路, 35kV吉海一开关 线路对侧地刀位置 分位, 二级, 保护信号变位, , 
2024/09/02 15:03:20.112, 金吉路, 35kV吉海一开关 速断保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:03:22.622, 金吉路, 35kV吉海一开关 速断保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:03:29.522, 金吉路, 35kV吉海一开关 零流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:03:32.758, 金吉路, 35kV吉海一开关 零流保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:03:37.800, 金吉路, 35kV吉海一开关 失灵保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:03:40.133, 金吉路, 35kV吉海一开关 失灵保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:03:49.818, 金吉路, 35kV吉海一开关 线路差动保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:03:52.778, 金吉路, 35kV吉海一开关 线路差动保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:03:55.262, 金吉路, 35kV吉海一开关 线路差动保护光纤通道 中断, 三级, 保护信号变位, , 
2024/09/02 15:03:57.521, 金吉路, 35kV吉海一开关 线路差动保护光纤通道 正常, 三级, 保护信号变位, , 
2024/09/02 15:04:01.885, 金吉路, 35kV吉海一开关 线路差动保护故障 出现, 三级, 保护信号变位, , 
2024/09/02 15:04:04.068, 金吉路, 35kV吉海一开关 线路差动保护故障 消失, 三级, 保护信号变位, , 
2024/09/02 15:04:09.511, 金吉路, 35kV吉海一开关 总保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:04:12.746, 金吉路, 35kV吉海一开关 总保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:04:19.392, 金吉路, 35kV吉海一开关 MCB控制电源小开关 分位, 二级, 保护信号变位, , 
2024/09/02 15:04:21.976, 金吉路, 35kV吉海一开关 MCB控制电源小开关 合位, 二级, 保护信号变位, , 
2024/09/02 15:04:27.744, 金吉路, 35kV吉海一开关 电弧 故障, 二级, 保护信号变位, , 
2024/09/02 15:04:30.328, 金吉路, 35kV吉海一开关 电弧 复归, 二级, 保护信号变位, , 
2024/09/02 15:04:37.752, 金吉路, 35kV吉海一开关 弹簧状态 未储能, 三级, 保护信号变位, , 
2024/09/02 15:04:41.641, 金吉路, 35kV吉海一开关 弹簧状态 已储能, 三级, 保护信号变位, , 
2024/09/02 15:04:46.934, 金吉路, 35kV吉海一开关 SF6气体压力 异常, 二级, 保护信号变位, , 
2024/09/02 15:04:49.341, 金吉路, 35kV吉海一开关 SF6气体压力 正常, 二级, 保护信号变位, , 
2024/09/02 15:04:56.013, 金吉路, 35kV吉海一开关 跳闸回路断线 出现, 二级, 保护信号变位, , 
2024/09/02 15:04:59.625, 金吉路, 35kV吉海一开关 跳闸回路断线 消失, 二级, 保护信号变位, , 
2024/09/02 15:05:05.319, 金吉路, 35kV吉海一开关 定值组1 投入, 二级, 保护信号变位, , 
2024/09/02 15:05:08.054, 金吉路, 35kV吉海一开关 定值组1 退出, 二级, 保护信号变位, , 
2024/09/02 15:05:09.935, 金吉路, 35kV吉海一开关 定值组2 投入, 二级, 保护信号变位, , 
2024/09/02 15:05:11.715, 金吉路, 35kV吉海一开关 定值组2 退出, 二级, 保护信号变位, , 
2024/09/02 15:05:13.421, 金吉路, 35kV吉海一开关 定值组3 投入, 二级, 保护信号变位, , 
2024/09/02 15:05:18.414, 金吉路, 35kV吉海一开关 定值组3 退出, 二级, 保护信号变位, , 
2024/09/02 15:05:37.030, 金吉路, 35kV吉海二开关 操作方式 远方, 三级, 保护信号变位, , 
2024/09/02 15:05:39.589, 金吉路, 35kV吉海二开关 操作方式 就地, 三级, 保护信号变位, , 
2024/09/02 15:05:50.227, 金吉路, 35kV吉海二母线闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 15:05:53.362, 金吉路, 35kV吉海二母线闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 15:05:56.975, 金吉路, 35kV吉海二接地闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 15:05:59.509, 金吉路, 35kV吉海二接地闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 15:06:03.373, 金吉路, 35kV吉海二开关 位置 合位, 二级, 开关变位, , 
2024/09/02 15:06:05.731, 金吉路, 35kV吉海二开关 位置 分位, 二级, 开关变位, , 
2024/09/02 15:06:08.039, 金吉路, 35kV吉海二开关 线路对侧地刀位置 合位, 二级, 保护信号变位, , 
2024/09/02 15:06:11.428, 金吉路, 35kV吉海二开关 线路对侧地刀位置 分位, 二级, 保护信号变位, , 
2024/09/02 15:06:19.633, 金吉路, 35kV吉海二开关 速断保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:06:21.767, 金吉路, 35kV吉海二开关 速断保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:06:27.060, 金吉路, 35kV吉海二开关 零流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:06:29.795, 金吉路, 35kV吉海二开关 零流保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:06:34.615, 金吉路, 35kV吉海二开关 失灵保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:06:37.124, 金吉路, 35kV吉海二开关 失灵保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:06:46.406, 金吉路, 35kV吉海二开关 线路差动保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:06:48.137, 金吉路, 35kV吉海二开关 线路差动保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:06:50.069, 金吉路, 35kV吉海二开关 线路差动保护光纤通道 中断, 三级, 保护信号变位, , 
2024/09/02 15:06:52.551, 金吉路, 35kV吉海二开关 线路差动保护光纤通道 正常, 三级, 保护信号变位, , 
2024/09/02 15:07:00.151, 金吉路, 35kV吉海二开关 线路差动保护故障 出现, 三级, 保护信号变位, , 
2024/09/02 15:07:02.634, 金吉路, 35kV吉海二开关 线路差动保护故障 消失, 三级, 保护信号变位, , 
2024/09/02 15:07:08.077, 金吉路, 35kV吉海二开关 总保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:07:10.611, 金吉路, 35kV吉海二开关 总保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:07:25.636, 金吉路, 35kV吉海二开关 MCB控制电源小开关 分位, 二级, 保护信号变位, , 
2024/09/02 15:07:29.398, 金吉路, 35kV吉海二开关 MCB控制电源小开关 合位, 二级, 保护信号变位, , 
2024/09/02 15:07:37.425, 金吉路, 35kV吉海二开关 电弧 故障, 二级, 保护信号变位, , 
2024/09/02 15:07:40.084, 金吉路, 35kV吉海二开关 电弧 复归, 二级, 保护信号变位, , 
2024/09/02 15:07:46.857, 金吉路, 35kV吉海二开关 跳闸回路断线 出现, 二级, 保护信号变位, , 
2024/09/02 15:07:49.516, 金吉路, 35kV吉海二开关 跳闸回路断线 消失, 二级, 保护信号变位, , 
2024/09/02 15:07:58.947, 金吉路, 35kV吉海二开关 弹簧状态 未储能, 三级, 保护信号变位, , 
2024/09/02 15:08:02.434, 金吉路, 35kV吉海二开关 弹簧状态 已储能, 三级, 保护信号变位, , 
2024/09/02 15:08:14.957, 金吉路, 35kV吉海二开关 SF6气体压力 异常, 二级, 保护信号变位, , 
2024/09/02 15:08:17.567, 金吉路, 35kV吉海二开关 SF6气体压力 正常, 二级, 保护信号变位, , 
2024/09/02 15:08:26.050, 金吉路, 35kV吉海二开关 定值组1 投入, 二级, 保护信号变位, , 
2024/09/02 15:08:28.585, 金吉路, 35kV吉海二开关 定值组1 退出, 二级, 保护信号变位, , 
2024/09/02 15:08:29.588, 金吉路, 35kV吉海二开关 定值组2 投入, 二级, 保护信号变位, , 
2024/09/02 15:08:31.771, 金吉路, 35kV吉海二开关 定值组2 退出, 二级, 保护信号变位, , 
2024/09/02 15:08:33.503, 金吉路, 35kV吉海二开关 定值组3 投入, 二级, 保护信号变位, , 
2024/09/02 15:08:38.247, 金吉路, 35kV吉海二开关 定值组3 退出, 二级, 保护信号变位, , 
2024/09/02 15:08:57.043, 金吉路, 1号整流变35kV开关 操作方式 远方, 三级, 保护信号变位, , 
2024/09/02 15:08:59.677, 金吉路, 1号整流变35kV开关 操作方式 就地, 三级, 保护信号变位, , 
2024/09/02 15:09:10.163, 金吉路, 1号整流变35kV母线闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 15:09:12.497, 金吉路, 1号整流变35kV母线闸刀 位置 分位, 二级, 刀闸变位, , 
